professor_name,school_name,department_name,post_date,student_star,student_difficult,comments,gender
Sang-Yeob  Lee,San Francisco State University,Economics department,03/19/2009,1.5,4,"This class was challenging because the instructor was not able to express the materials clearly. Not to mention, he does not speak fluent English. In addition, it is even harder to understand the course materials, due to lack of samples and again fluent expression of the materials. Moreover, this class will require much practice and studying.",M
Viet  Trinh,University of Phoenix,Computer Science department,04/12/2010,2,1,"This is the first time that I had a teacher who is in the wheelchair. In spite of his situation, he is very knowledgeable when it comes to programming. He is very helpful. The only negative I can say is his accent. There are times that I cannot understand what he says. Overall, he is a good teacher.",M
Viet  Trinh,University of Phoenix,Computer Science department,02/27/2010,5,5,"Viet is the best professor I had met. The reason I can evaluate him because I was a software engineer, briefly: 1. His topic is very useful and critical to programing. 2. He has hands on experiences so he know how to teach instead of talking. 3. Normally if you do not have any background before, this course is difficult.",M
Viet  Trinh,University of Phoenix,Computer Science department,01/28/2009,1,4,Couldn\'t understand him due to a heavy Korean accent. He did not follow the syllabus. I learned absolutely nothing from the class.,M
Patricia  Ganea,Boston University,Psychology department,10/17/2011,2,3,I hope you can write/type fast as you\'ll need to be able to do that to keep up. She covers an entire 1.5 hour lecture in 40-50mins on average (some times only 30 mins) by talking at the speed of light. Also English isn\'t her first language which makings things trickier. It does show up on her poorly worded exams and she is stick about grade cut off,F
Patricia  Ganea,Boston University,Psychology department,08/02/2011,3.5,5,"If you\'re looking to learn about parenting, stay away from this class. It\'s all about pointless baby facts that aren\'t very applicable. Exams are COMPLETELY based on the lectures. What you get on the exams is what you get in the class, which sucks bc the ques are unclear. **Final MC ques are EXACTLY the ques on past 3 exams so review the exams!",F
Patricia  Ganea,Boston University,Psychology department,05/13/2011,2,4,"She doesn\'t care about her students. Not clear in explaining some of the concepts and moves extremely fast and let out class early every single time. Discussions are usually question-answer base, which wasn\'t really useful, but there\'s an attendance. I don\'t recommend her - try another class!",F
Patricia  Ganea,Boston University,Psychology department,05/11/2011,4,3,"Great professor! She is very enthusiastic about research and she was clearly knowledgeable about current research. Lectures had just the right amount of information and they were clear, had good slides and great videos. You will enjoy this course if you are interested in babies and how they develop.",F
Patricia  Ganea,Boston University,Psychology department,05/11/2011,4,3,She is clear during lecture and goes over concepts many times. Book is useful but lectures are most important. She knows the material really well and asks questions to make sure people got it. I also enjoyed the videos she showed in class. I strongly recommend it.,F
Patricia  Ganea,Boston University,Psychology department,05/10/2011,1.5,4,Lectures are not mandatory but it\'s good to go since there will be some materials that aren\'t covered in the textbook (but she uploads the powerpoint outlines online). She\'s misleading and unclear with some of the concepts so be sure to read the books (or at least skim!). Discussions were not helpful at all! I Wouldn\'t recommend her.,F
Patricia  Ganea,Boston University,Psychology department,05/09/2011,1.5,3,She is fast. Very fast. Be prepared to take 90 mins worth of notes in 45-60 mins. We got out of lecture 30-45 mins early every time. She also has no knowledge of basic biology so she gives misleading information during the human development section. Additionally her exams are poorly written and many questions don\'t make sense.,F
Patricia  Ganea,Boston University,Psychology department,05/22/2010,4.5,3,Great professor! I really enjoyed her class and she was clearly knowledgeable about the material and enthusiastic about increasing students\' interest levels. Very nice! She has high expectations but is always available and willing to help. Take this course if you like babies and amazing professors! <3,F
Patricia  Ganea,Boston University,Psychology department,11/03/2009,3.5,4,"Lectures kind of boring. However, she does drop the lowest test grade. Nice lady. Make sure to read those boxes in the textbook that usually people skip over",F
Patricia  Ganea,Boston University,Psychology department,05/11/2009,3.5,4,I liked this course. Lectures do have stuff that\'s not in the textbook so it\'s good to go. She also shows short video clips with studies. I found it easier to go through the textbook after lecture. nice teacher.,F
Patricia  Ganea,Boston University,Psychology department,05/10/2009,4,3,Professor Ganea is a great teacher. She is very excited about research and she wants students to really understand the material. The tests are tricky but if you attend class and read textbook you\'ll be fine. I learned a lot in this class.,F
Patricia  Ganea,Boston University,Psychology department,05/05/2009,1.5,3,"Horrible class! She pretty much copies the book in her powerpoints, she reads off of her powerpoints and isn\'t very clear. She does not give review sheets for exams. She drops the lowest test grade and has a very generous scale. However, the questions on the exams are worded oddly. I wouldn\'t recommend her.",F
Rosalba  Pisaturo,Rochester Institute of Technology,Spanish department,06/18/2015,4,4,"Professor Pisaturo is very clear about what she expects from students. Yes, she can be nit-picky but generally it\'s when students aren\'t doing the homework and are AWOL for no good reason. In the end, my interest in Italian skyrocketed as I progressed through Beginner Italian I and II. Also, if I needed help, Professor Pisaturo was there to help",F
Rosalba  Pisaturo,Rochester Institute of Technology,Spanish department,11/11/2014,1,5,"Please never take this professor for a language class. I was on track to take Beginning Italian 2 with her then move up to Intermediate Italian, and in a little over half of a semester completely disgusted me to the notion. Horrible professor, gives way too much online homework, and almost NO in class speaking! DO NOT TAKE THIS PROFESSOR!!!!!",F
Rosalba  Pisaturo,Rochester Institute of Technology,Spanish department,10/22/2014,2,3,"Rosalba can be nice outside of class, but not so much during. She is rude, nit-picky with every student (definitely picked on a few people more so than others) and an AWFUL teacher in general. There were never lectures. I do not recommend her if you want to enjoy learning Italian. I basically had to teach myself everything. Take it w Elisabetta!",F
Rosalba  Pisaturo,Rochester Institute of Technology,Spanish department,08/15/2012,1.5,1,I dreaded going to this class every week. She didn\'t like me and made it quite obvious. She had favorites within the first week. Yelled at us for procrastinating even though we always all had hw done on time. Advice stay away from this class.,F
Rosalba  Pisaturo,Rochester Institute of Technology,Spanish department,12/21/2011,1,5,How a prestigious school gave job to this person really goes beyond my understanding,F
Rosalba  Pisaturo,Rochester Institute of Technology,Spanish department,02/24/2009,3,1,"Decent prof. class was easy, but perhaps because I took Spanish before. only complaints are the required attendance (which is 20% of the grade by the way) and the long online homework assignments. if you have taken Spanish before, probably best to avoid this class as it gets boring real fast",F
Bruce  Gluckman,Pennsylvania State University,Engineering department,05/02/2017,2,4,"He knows what he is doing, but lacks the ability to teach it to his students. When doing problems on the board he simply copies from his notes, often making mistakes. Concepts in the class aren\'t hard, it\'s just the algebra that gets you.",M
Bruce  Gluckman,Pennsylvania State University,Engineering department,04/24/2017,1,4,The worst professor I\'ve ever had. He makes notes before class on what he needs to go over and during every problem he stares at his own notes because he can\'t understand them because he doesn\'t understand the material. His class started with 160 students and now there\'s 30. Most of the students in his sections just go to different lectures.,M
Bruce  Gluckman,Pennsylvania State University,Engineering department,06/09/2015,1,4,"Dr. Gluckman is clearly a professor that is at the university to conduct research. His lectures were very confusing, as he is not a good communicator at all.",M
Bruce  Gluckman,Pennsylvania State University,Engineering department,03/23/2015,1,5,"Do not take this class with this professor. He doesn\'t thoroughly explains topics, makes countless mistakes because he is not actually working the problem, he is simply copying it down onto the blackboard. Lectures are boring, last the entire period, yet he is constantly behind the other classes.",M
Bruce  Gluckman,Pennsylvania State University,Engineering department,02/19/2015,1,5,Do yourself a favor and run. Don\'t take this class with this guy. It is hard enough as is and there are better options.,M
Bruce  Gluckman,Pennsylvania State University,Engineering department,02/12/2015,1,5,"Overall just an awful experience, drop immediately if you get this get this guy",M
Bruce  Gluckman,Pennsylvania State University,Engineering department,10/29/2009,3.5,1,"I\'m sorry to hear such negative comments, but so far he\'s been great. The class has been easy and laid back. The class is graded on journal presentations, write-ups, homework, and a final project -- no exams! He\'s a little unorganized at times and has bad handwriting, but other than that, he\'s a smart man that has a lot to teach",M
Bruce  Gluckman,Pennsylvania State University,Engineering department,09/13/2009,1,5,I loved emch 211 and 213 but I hated 212. Mostly because of this guy. He sucks. DO. NOT. TAKE. HIM. EVER.,M
Bruce  Gluckman,Pennsylvania State University,Engineering department,09/13/2009,1,5,STAY AWAY!! He doesn\'t care whether you understand the material or not. He is very pompous. I think he\'s used to grad students or something because he just cannot explain things to undergrads. Terrible teacher. Avoid at all costs!!,M
Bruce  Gluckman,Pennsylvania State University,Engineering department,05/24/2009,1,5,"same comment as below, didn\'t mean a 5 for easy, meant a 1. this class was HARD",M
Bruce  Gluckman,Pennsylvania State University,Engineering department,05/24/2009,1,1,"A VERY smart man, but not much of a professor yet. He is a professor of neurosurgery, idk why they made him teach this class. He didn\'t want to. I think he was mostly unprepared which is why his class wasn\'t very good. Maybe he\'ll do better next time around if he draws the short straw again.",M
Bruce  Gluckman,Pennsylvania State University,Engineering department,05/21/2009,1,5,"He hates people who are taller than him. Might sound funny, but unfortunately it\'s true.",M
Bruce  Gluckman,Pennsylvania State University,Engineering department,05/07/2009,1,5,I went to ask him a question once and left more confused than I have ever been before.,M
Bruce  Gluckman,Pennsylvania State University,Engineering department,05/06/2009,1,5,Worst teacher ive ever had.,M
Bruce  Gluckman,Pennsylvania State University,Engineering department,05/04/2009,1,5,"Very fast paced, terrible at finishing examples. exams tough and unfair. Hope you have a sub or someone else",M
Bruce  Gluckman,Pennsylvania State University,Engineering department,02/26/2009,1,5,Horrible. Confuses himself and the students.,M
Bruce  Gluckman,Pennsylvania State University,Engineering department,02/19/2009,1,4,"Cannot recommend this professor. Lives in his own world and keeps contradicting the book. If you want to do well, make sure to flatter him. This will affect your course grade much more than anything else. I would agree with the other statement. Stay away from this self-absorbed professor at all cost.",M
Bruce  Gluckman,Pennsylvania State University,Engineering department,01/28/2009,1,5,"Horrible, avoid at all costs",M
Jennifer  Seigle,University of California Santa Barbara,Theater department,03/31/2009,4,1,"Completely easy, joke of a class. She gives you extra credit for everything. Just attend class to watch the movies, she gives you all the answers to the tests, no reading required. Easiest A ever. Also, she uses ""aesthetic"" in EVERY sentence.",F
Jennifer  Seigle,University of California Santa Barbara,Theater department,02/18/2009,5,1,"I absolutely loved this class!! If you attend class then you\'re fine, you don\'t even have to do the reading. She\'s very interesting and understanding. No textbook required, only a reader(I didn\'t even buy it and I got an A). To the person above: There is no right answer to dance! Duh! Her exams are straight-forward and easy.",F
Jennifer  Seigle,University of California Santa Barbara,Theater department,01/28/2009,1,4,"She doesn\'t repeat what students say. she tried to alphabetize us, then memorize our names...there\'s 300 of us. and she thinks that everyones answers are correct.",F
Linda  Jones,Los Angeles Valley College,Health & Physical Education department,01/28/2009,5,1,ILL FEEL SORRY FOR YOU IF YOU DONT TAKE HIS CLASS. IT WAS VERY COOL AND I LEARNED A LOT AND WISH I COULD TAKE IT AGAIN. I GOT AN A AND I DIDNT HAVE TO TAKE THE FINAL. SUPER EASY WORK. TEST ONLY TRUE OR FALSE AND BASICALLY GIVES YOU ALL THE ANSWERS THE CLASS BEFORE. BEST TEACHER EVER. I RECOMMEND HIS ONE DAY CLASS IF HE HAS ONE. TRUST ME.,M
Vicki  Truska,Central Community College,Nursing department,02/02/2010,1.5,5,"She is one of worst teachers I have ever had, and her class was the only one I have ever gotten a D in.",F
Vicki  Truska,Central Community College,Nursing department,01/28/2009,1.5,5,Does not model behavior she seeks from students.,F
Samantha  Doralp,Western University,Psychology department,12/22/2016,1,5,"Hands down the most frustrating class i have attended. The classes and concepts were no that hard conceptually, but she needs to work on making it clear what students need to take from the lecture. It was almost impossible come test time to determine what she wanted you to say in a short answer. Would strongly recommend switching/swapping.",F
Samantha  Doralp,Western University,Psychology department,05/16/2016,4,3,tries too hard to be \'cool\' but is easy to listen too. material was good and textbook only needed to be used for certain sections but not for the whole class. overall the class is fun. easy to get mid 70-80\'s on the exams,F
Samantha  Doralp,Western University,Psychology department,01/15/2016,4.5,4,"Dr. Doralp is under-appreciated as a professor. No, she\'s not going to give you an easy, high grade. But she will learn your name, offer help, encourage healthy discussion, and create fair assessments. Regardless of grades, Doralp creates a great learning experience for her students - the best I\'ve had yet!",F
Samantha  Doralp,Western University,Psychology department,10/14/2015,3.5,3,"Dr, Doralp is easily my favourite prof! She adds humour and makes the lectures fun by adding videos and interesting trivia. Makes it interactive with questionnaires and personalizes the experience with name tags. Usually lets you out a little early and gives you a good break in her longer lectures. Great with questions",F
Samantha  Doralp,Western University,Psychology department,06/10/2015,1,5,"very 2-faced. Acts like a know-it-all but really knows squat. Once, she asked the class what we know about hemoglobin and a student said it\'s a basic building block for blood. She said, \'agh, didn\'t know\'. You didn\'t know?!?Hello Physiology 101... how are you a physiotherapist? Real talk, has no idea how to mark and should be fired. Also,THIRSTY!:S",F
Samantha  Doralp,Western University,Psychology department,12/02/2014,2,5,"She\'s condescending. She picks on people in the class, thinking she\'s funny, when in reality shes not. She makes the course unnecessarily hard. Horrible proff. Worst one I\'ve had thus far in my university career. i enjoyed chemistry 100 times more than this course.",F
Samantha  Doralp,Western University,Psychology department,10/24/2014,1,5,"WORST PROFESSOR EVER! VERY AMIGIOUS - makes the class so much harder than it needs to be. It\'s like she wants to set us up for failure. She never has energy to teach, either.",F
Samantha  Doralp,Western University,Psychology department,01/28/2014,5,5,"Extremely nice prof, but her tests are very confusing and she marks so hard compared to how she teaches. When you give an answer she does like she will mark it all correct and always writes lots of comments which is good. Overall, I would not want her as a prof again.",F
Samantha  Doralp,Western University,Psychology department,03/12/2013,5,3,Amazing professor. Highly recommend her. Tests are fair and spaced out. She\'s genuine. She has a lot of fun in the classroom and makes learning enjoyable! Take this class!,F
Samantha  Doralp,Western University,Psychology department,12/15/2012,5,3,"Amazing prof who is genuine, fun, and real Her human sexuality class is a blast definitely worth taking",F
Samantha  Doralp,Western University,Psychology department,10/30/2009,4,2,"She is amazing, great personality, makes class fun, enthusiastic, tests are reasonable and not too challenging, a little unclear at points. Great prof, highly recommend her human sexuality psych class",F
Samantha  Doralp,Western University,Psychology department,09/30/2009,5,3,No Comments,F
Samantha  Doralp,Western University,Psychology department,04/28/2009,1.5,5,"Is condescending towards students in class setting, doesn\'t know the material well enough, test questions are brutally confusing & unrealistic. Immature, unorganized and it might have been nice if she had spent as much effort toward the production & posting of her power points as well as her teaching methods, as she did toward her appearance.",F
Jamar  London,Santa Monica College,Mathematics department,05/03/2018,4,1,Test gets harder but I still passed,M
Jamar  London,Santa Monica College,Mathematics department,11/10/2017,2,4,I took him during summer and I have to say that it was too stressful and was not worth the hours of commuting to and from home. He is very considerate of personal issues but in regards to academic help he just over complicates things and is not a good source of help. ESPECIALLY with all the homework he assigned. Try looking for someone better.,M
Jamar  London,Santa Monica College,Mathematics department,06/23/2017,3,5,The exams gets harder with the math problems and gets tricky that I wasn\'t familiar with in class. But he was a nice guy and looks out for you and ask you how is math going and helps you with math problems all the best he can during his office hours and he gives tons of homework too.,M
Jamar  London,Santa Monica College,Mathematics department,06/15/2017,4,4,Good instructor and you will have to earn your grade! Go to office hours and do all of his handouts.,M
Jamar  London,Santa Monica College,Mathematics department,05/07/2017,1,5,I can\'t say he was a bad teacher but he is very inconsiderate. He gives so much homework and then when the test comes the problems are 10x harder. If math is hard for you stay away from him. Also he\'s inconsiderate and Not understanding.,M
Jamar  London,Santa Monica College,Mathematics department,02/15/2017,1,5,"He is good in class but his exams are too difficult. He grades only exams. no extra credits, no participation. Attendance will not be graded. If you are not good at Math or math major, STAY AWAY from his class. I studied hard and did all homework but I failed.",M
Jamar  London,Santa Monica College,Mathematics department,01/03/2017,4,5,"Professor London is pretty straightforward in his lectures about what you need to know for tests. Tests can be very tricky, and he is a tough grader, so make sure you can do the tougher homework problems to be ready for test. He is more than willing to meet with you in office hours which is nice, and I would highly recommend doing.",M
Jamar  London,Santa Monica College,Mathematics department,12/31/2016,2,4,The lectures he gives are great. The only thing that\'s iffy about the class is his grading scale and how much points are worth. If you know you\'re extremely weak and Math I recommend not taking the class.,M
Jamar  London,Santa Monica College,Mathematics department,12/13/2016,5,3,"I am the absolute worst at Math, but professor London is the only teacher who has helped me understand better. He truly wants you to succeed and learn. He is very easy going and although theres a lot of homework, it isn\'t due until the test day. He grades on only tests and homework. His class wasn\'t boring! I would 10/10 take this teacher again.",M
Jamar  London,Santa Monica College,Mathematics department,12/06/2016,2,5,Professor London is an average teacher. He grades homework and exams only. He does easy problems in class and the hard ones are left for you to do at home. He somehow tries to help during his office hours but not so helpful. He sometimes talks about random things and confuses you at times.,M
Jamar  London,Santa Monica College,Mathematics department,07/15/2016,1,5,"Do not take Jamars class if you intend on being taught math. Poor teaching style, poor attitude, dissorganized, no extra credit, only grades on exams. This professor suggests ALL learning be done outside class. DO YOURSELF A FAVOR AND STAY AWAY, I wish I did.",M
Jamar  London,Santa Monica College,Mathematics department,05/22/2016,1.5,4,"Stay clear of his class. If you ask him a question he says ""he has no idea"". Says he wants students to come to office hours but is useless when you go.",M
Jamar  London,Santa Monica College,Mathematics department,02/18/2016,4.5,3,"If you don\'t do well in his class its because you simply arent putting in the effort. I got a C but I didnt study once, or do the homework. He was very helpful but my grade was a result of putting in zero effort. Going to his office hours is also really helpful.",M
Jamar  London,Santa Monica College,Mathematics department,02/13/2016,4.5,3,"Jamar London, is a Excellent professor, He get you ready for M2, I defiantly recommend him, he is there for you just meet up with him in his office hours, let him know your problems he is more than happy to help. But know what all courses will be difficult same as this class, require homework every day, getting an A, you need to work. No extracred",M
Jamar  London,Santa Monica College,Mathematics department,01/20/2016,2.5,4,"I took this class for the fall semester 2015 professor will help you if you ask for it, but his lectures were confusing to me. Do expect homework even though its due on the day of the test, you should keep with it and not procrastinate the night before because it will kill you!! He writes his notes in cursive on the board.",M
Jamar  London,Santa Monica College,Mathematics department,01/05/2016,5,2,"Professor London is a professor that will be there for you when you go up to him and ask him for help. If he see\'s the effort of you going to class, he will help you. His lectures are easy to understand and they\'re very helpful when it comes to testing. There is a lot of homework but it gets better.",M
Jamar  London,Santa Monica College,Mathematics department,12/24/2015,3.5,4,"This class was hard. Unless you\'re really good at math, you\'re going to have to do all the homework, study the book in and out, but most of all study the lecture notes he gives. He goes over easy problems in class but the problems for homework are hard. The tests are hard too. Spent the entire semester in the math lab.",M
Jamar  London,Santa Monica College,Mathematics department,12/15/2015,4,3,He\'s a great professor. Every day he gives homework. Although his lectures could get boring he explains the material clearly and make sure that you know the material as well. No student is left behind.,M
Jamar  London,Santa Monica College,Mathematics department,11/03/2015,3,4,"Good teacher and cares about students learning, but tough grader and test writer. Earned a 79.4 in the class and he wouldn\'t round it up to a B :(",M
Jamar  London,Santa Monica College,Mathematics department,04/22/2015,2,5,I hated his class! Only take his class if you like math!,M
Beth  Kameras,Montgomery College: Takoma Park/Silver Spring Campus,Communication department,03/23/2009,2.5,5,"She\'s taking this class way too seriously. The tests are far too hard. The prof is unsympathetisc. If you really like speech, find a different professor. If you need an easy A then take something else.",F
Daniel  Disalvo,City College of New York,Political Science department,05/09/2018,1,5,"Dan Disalvo is a joke; avoid him if you can. He is incredibly pompous, egotistical and can be downright mean. His lectures are painfully boring and completely irrelevant to the material and have little to nothing to do with the exams. He\'s an extremely harsh grader yet doesn\'t provide any useful feedback - the worst professor I\'ve had at CCNY.",M
Daniel  Disalvo,City College of New York,Political Science department,07/23/2016,2,4,"DiSalvo is a harsh grader with no clear expectations. His exams are not cumulative, but there is tons of material on each. Weekly quizzes are easy, but do not count for much. Need to be prepared to memorize chapters of the textbook and grasp a lot of reading material clearly for the midterm. Anything he mentions or assigns will end up on exams.",M
Daniel  Disalvo,City College of New York,Political Science department,06/06/2016,5,1,You have to read in this class and his midterm and final is based on his notes. By the way his TAs grade the essays so be prepared because they are harsh graders.,M
Daniel  Disalvo,City College of New York,Political Science department,06/03/2016,5,3,"He is a great lecturer, I enjoyed each and every one of his lectures. He made me interested in the subject. Two papers & a midterm and final(not cumulative) &online quizzes each week. The TA i got(Mr birch) is a harsh grader and didn\'t fully let us know his expectations. Disalvo on the other hand is a gem, always there to help during office hours",M
Daniel  Disalvo,City College of New York,Political Science department,06/01/2016,3,4,"He assigns two papers throughout the semester that needs to be exactly 5 pages, a midterm and final that are not cumulative. In lecture, he covers certain things on powerpoint thats not in the textbook but is very vague about what will be on midterms and finals. For papers, hope your TA grades lightly and expect weekly quizzes online, google em.",M
Daniel  Disalvo,City College of New York,Political Science department,05/31/2016,5,3,"Professor DiSalvo is an outstanding professor and lecturer. Although his lectures sometimes will have you dozing off, virtually all tested material is covered in his lectures. Beware the TAs\'. though. The TAs\' do all the grading in his class, and one may be a harsher grader than the rest.",M
Daniel  Disalvo,City College of New York,Political Science department,05/18/2016,4,3,"Fantastic lecturer, thoroughly reviews all reading materials in class and ensure students understand them. Have to write 500 word response for prompts to readings for each class. Aside from that, has 2 long papers, a midterm, and a final, and provides very clear feedback on all assignments.",M
Daniel  Disalvo,City College of New York,Political Science department,04/29/2016,2.5,3,"Mediocre at best. He is obviously intelligent, but not someone I would want to take again. Nothing personal, just did not enjoy his rather dull and sluggish teaching style. Attendance is very mandatory!",M
Daniel  Disalvo,City College of New York,Political Science department,04/01/2016,2,4,"There is a lot of reading. Make sure for the first essay go to him so that he can check your outline because he is a tough grader when it comes to essays. Overall, really pay attention in the lectures and take good notes!!! I cant stress that enough. The midterm was not ""fair game"" as he said. He\'s okay as a professor.",M
Daniel  Disalvo,City College of New York,Political Science department,05/01/2015,5,3,"Great Professor, cares about his students, and you will learn from him.",M
Daniel  Disalvo,City College of New York,Political Science department,04/16/2015,4.5,3,"He is an amazing professor and super hot in a weird way. However, you do have to work in his class, dont expect to get an A easily, you have to read and do his work. He will help you if you feel like you arent passing but YOU HAVE TO ATTEND CLASSES. Since he does a powerpoint review.",M
Daniel  Disalvo,City College of New York,Political Science department,12/18/2014,3.5,4,"If you are looking for an easy A he is not it lol. There is a lot of reading involve, he does not accept late papers. come to class if you want to pass, write everything on those power point slides it would be on the Midterm, you have to write 2 papers 5-7pgs, and one final take home exam. Askkkk questions and edit your papers! good luck",M
Daniel  Disalvo,City College of New York,Political Science department,01/27/2014,4,3,"I believe he would be an easy grader but too bad it\'s the TA that grades you. So goodluck and get a good TA! He is very helpful and willing to help you in this office hours to discuss about any education problems. Online quiz every week. 10 multiple choice problems with an hour limit. Very easy quizes. Downside was the Finals, 2 essays.",M
Daniel  Disalvo,City College of New York,Political Science department,01/23/2014,5,2,"I think I might be in love with the man. He\'s so intelligent and funny, and his style is remarkable. He made lecture very entertaining. The only downside was the no technology rule, but he leaves slides on for a reasonable amount of time. If you listen to him (which I suggest you do), you\'re good for the midterm and final.",M
Daniel  Disalvo,City College of New York,Political Science department,12/30/2013,4,3,"DiSalvo will stop the entire lecture if one person takes out his/her phone. SO KEEP YOUR PHONES AWAY! Great lecturer, very knowledgeable about political science. 2 papers a midterm and final. Online quizzes are easy.",M
Daniel  Disalvo,City College of New York,Political Science department,12/19/2013,5,2,"Without a doubt some of the best lectures I have ever attended. Extremely knowledgeable and clear, not to mention funny.",M
Daniel  Disalvo,City College of New York,Political Science department,12/15/2013,1,5,Worse Professor ever!! He\'s very boring and arrogant. Hard grader. Don\'t take him!!,M
Daniel  Disalvo,City College of New York,Political Science department,11/20/2013,5,1,Take him to get an easy A!! AMMAZZIINGG!!,M
Daniel  Disalvo,City College of New York,Political Science department,05/28/2013,5,3,"He is one of the greatest professors I\'ve ever had. He always makes sure that the students understand everything clearly. Papers are very easy, but you need to study hard for the exams. He makes his class very interesting, however, you also need to make sure that your TA doesn\'t suck because it\'s your TA grading you, not him.",M
Daniel  Disalvo,City College of New York,Political Science department,12/16/2012,4.5,3,He is one of the most direct professors in the school and is willing to answer any doubts. He is moderately tough when it comes to grading papers. He gives weekly quizzes but they are very simple. The textbook is a breeze to read. The only issue is that the readings can be long but that\'s normal for a college liberal arts class.,M
Richard  Seagraves,Sacramento City College,Photography department,01/26/2009,5,1,"Richard is a great instructor and working photographer. You will learn a lot in this class, from lighting techniques to the business of photography. There\'s is a lot of fun to be had in this class! Photo shoots are great because all the students have a part in it if they so choose! I recommend this class to photo people!",X
Paige  Cowley,Tarleton State University,Biology department,12/02/2009,2,4,I definitely would not take her if you are a female. She is young and favors males. She gives no extra credit or any opportunity to make stuff up. She is sporadic and confusing.,F
Paige  Cowley,Tarleton State University,Biology department,06/08/2009,2,4,"Paige can be pretty difficult to understand. She sometimes speaks to students like they already know and comprehend everything she\'s saying. Labs can be short but usually last the whole time. She only grades a few questions per worksheet, so be sure they are all complete.",F
Adam  Hawkins,Purdue University - West Lafayette,English department,01/19/2012,5,2,Best English teacher ever! Very helpful and clear at explaining things!,M
Adam  Hawkins,Purdue University - West Lafayette,English department,10/27/2011,5,3,"He uses neat media sources from the Internet. He\'s young and very easy to get along with. His assignments are all connected to the real world which makes his class great. Go get \'im, ladies!",M
Adam  Hawkins,Purdue University - West Lafayette,English department,09/15/2009,5,3,"This teacher is really cool and knows how to relate to his students really well. He isn\'t bad to look at either, ladies!",M
Adam  Hawkins,Purdue University - West Lafayette,English department,05/18/2009,5,2,awesome teacher. easy to talk to. young and relates well to students,M
Adam  Hawkins,Purdue University - West Lafayette,English department,01/28/2009,4,3,Not the worst. Not the best. Fairly easy-going as long as you do the work and try.,M
Ashley  Johnson,Jacksonville University,Biology department,04/30/2014,5,2,Dr. Johnson is awesome! She is very helpful and willing to work with students. Make sure you do all your assignments and listen in class or else it could be difficult. She\'s great professor overall for any class.,F
Ashley  Johnson,Jacksonville University,Biology department,01/28/2009,2,5,"She was a very good professor. But her test were hard and more than half the class was failing. She tried to work with us by haveing homework assignments, but it still didn\'t work.",F
Aaron  Fritsch,San Francisco State University,Communication Studies department,01/08/2010,4.5,2,Great guy.,M
Aaron  Fritsch,San Francisco State University,Communication Studies department,12/07/2009,5,1,"I loved waking up to his class every other morning! I love the way his class is structured, and how he wasn\'t soley focused on \'communication,\' he wanted us to start to think in a different way. I think the best thing in his class was the slam poem we had to write and present",M
Aaron  Fritsch,San Francisco State University,Communication Studies department,08/14/2009,5,2,definitely a great class :),M
Aaron  Fritsch,San Francisco State University,Communication Studies department,07/19/2009,5,1,Aaron was a fantastic teacher who actually taught something useful that I am definitely going to use in the future. I loved his class and will truly miss his teaching styles. I recommend that you take him in the summer cuz its a lot more interesting. And that comment about him favoring little white males is totally bogus.,M
Aaron  Fritsch,San Francisco State University,Communication Studies department,07/09/2009,5,1,Hands down one of the best personalities I ever came across...his class is amazing and I advise everyone to take this class...the class is easy and never boring...most importantly you discuss real**** in the class,M
Aaron  Fritsch,San Francisco State University,Communication Studies department,06/05/2009,5,1,Hella cool. I encourage anyone to take him. Class not that difficult and he really tries to get everyone to understand him. 3 speeches (2 were automatic A\'s and 3rd you really have to do the work). 5 writting assignments but they were pretty easy. Come to class and even when you do its not that boring. I really recommend him for Comm.,M
Aaron  Fritsch,San Francisco State University,Communication Studies department,05/25/2009,4.5,1,"Great teacher. very laid back. just show up to class and do the writing assignments (assigned every couple of weeks, counts as final), and do okay on the quiz and you will get an A for sure",M
Aaron  Fritsch,San Francisco State University,Communication Studies department,05/08/2009,4,1,"Easy and laid back, cusses a lot. Encourages you to really speak your mind. DO NOT TAKE THE 8am CLASS! stickler for attendance. he picks favorites (young white males). if you\'re not in with him, you will have to try harder.",M
Aaron  Fritsch,San Francisco State University,Communication Studies department,05/01/2009,4.5,3,Knows his****. lots of passion for what hes teaching. The eye-candy is a good incentive to go to class as well.,M
Aaron  Fritsch,San Francisco State University,Communication Studies department,01/28/2009,5,2,No Comments,M
Aleams  Barra,University of Kentucky,Mathematics department,12/06/2011,1,5,Cannot understand him. Do not take this class.,M
Aleams  Barra,University of Kentucky,Mathematics department,04/29/2009,1.5,4,Worst teacher I\'ve had because of the difficulty to understand him. The language barrier was nearly impossible to overcome. And he was not clear about the schedule of some stuff. It\'s possible to make it through his class just go to the study and talk to people who can speak better english.,M
Aleams  Barra,University of Kentucky,Mathematics department,04/05/2009,4,1,"Good teacher very smart, Hard to understand his speeking at times because he\'s foriegn. If you have questions he is willing to anwser them for you!Good Class cool teacher",M
Carl  Parker,Fort Hays State University,Accounting department,12/21/2015,1.5,4,He is one of the worst teachers I have ever had. He doesn\'t help when you ask questions he just repeats the same thing instead of trying to help you understand. NO homework grade is COMPLETELY exams and the exams are HARD. Never thought I would want homework. I would not recommend taking his class.,M
